title,author,publisher,library,provider,platform,image_url,isbn,goods_id
나의 꿈 100억 부자 할머니 : 부동산을 시작하고 싶은 사람들에게 쉽게 읽는 경제 소설,부자복녀(김문경),작가와,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/151117516/M,,151117516
드림보드 : 꿈을 이루는 사람들의 원칙,양지연,작가와,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/151250302/M,,151250302
월요일 수요일 토요일,페트라 펠리니,북파머스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801193937823/M4801193937823.jpg,,4801193937823
비만 해방,데이비드 A. 케슬러,웅진지식하우스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4808901296708/M4808901296708.jpg,,4808901296708
멈추지 못하는 뇌,조지프 제벨리,갤리온,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/151254069/M,,151254069
인생을 바꾸는 이메일 쓰기,이슬아,이야기장수,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801194184332/M4801194184332.jpg,,4801194184332
완벽하지 않아도 괜찮아 : 진흙에 물들지 않는 연꽃처럼 살아가렴,대만앨리스,작가와,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/150719827/M,,150719827
영화 케이팝 데몬 헌터스 고품질 대본 대사 스크립트 : 관심 주제만 쏙쏙 골라 공부! 관심 대사만 유튜브 쉐도잉!,원작자 : Maggie Kang |자 : 공부나라,공부나라,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/151122986/M,,151122986
고요히 나를 다시 안다,"엄방자,AI",작가와,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/151793127/M,,151793127
부정을 부정하라 : 부정적인 생각에 끌려가지 않는 감정 훈련법,앤서니 이아나리노,오픈도어북스,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/151851160/M,,151851160
너라는 브랜드를 마케팅하라 : ‘존재감’ 있게 일하고 ‘성공적’인 인생을 살아가는 법,이소라,클랩북스,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/150169028/M,,150169028
아름다운 삶을 위하여,최병길,애플기획,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/152085021/M,,152085021
신삼국지,tvN STORY 〈신삼국지〉 제작팀,프런트페이지,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801193401492/M4801193401492.jpg,,4801193401492
니즈 캔버스,임용성,부크크,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/151850189/M,,151850189
부부대화에 진심입니다 : 대화하는 부부를 위한 아내의 결심,말로이,작가와,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/151395799/M,,151395799
어린이 과학 질문 사전,정윤선,바이킹,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4808964947647/M4808964947647.jpg,,4808964947647
새로운 질서,"헨리 키신저,에릭 슈밋,크레이그 먼디",윌북(willbook),송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/149597447/M,,149597447
나는 철들지 않기로 했다 : 나 그래도 괜찮아 시리즈 2권,"여유,타마",작가와,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/151250333/M,,151250333
시드니 한달의 온기 : 함께 웃고 머문 시드니의 한달의 여름,최유리,작가와,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/151793132/M,,151793132
먹는 욕망,"최형진,김대수",빛의서가,송파구 도서관 (소장),YES24,YES24,https://image.yes24.com/goods/151793957/M,,151793957
잘 벌고 잘 쓰고 잘 살고 싶어서 돈 공부를 시작했다,래빗해빛(김아름),토네이도,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801158513260/M4801158513260.jpg,,4801158513260
팔지 않아도 팔리는 마케팅의 비밀,신승철(글천개),비즈니스북스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801162544342/M4801162544342.jpg,,4801162544342
무심코 했는데 혐오와 차별이라고요?,김청연,어크로스주니어,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801167742224/M4801167742224.jpg,,4801167742224
나도 상처 받지 않고 친구도 상처 받지 않는 친구 관계 연습,김은지,위즈덤하우스,송파구 도서관 (소장),교보,YES24,/images/bookimg//DRMContent/ebook/4801171711322/M4801171711322.jpg,,4801171711322
