title,author,publisher,library,image_url,isbn
ENJOY 뉴욕 Part3 테마여행Ⅲ,김하연,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 뉴욕 Part4 테마여행 Ⅳ,김하연,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 규슈 Part1 지역여행,"정태관, 승필호",넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 규슈 Part2 지역여행,"정태관, 승필호",넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 홋카이도 Part2 지역여행Ⅱ,"정태관,박용준,민보영",넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 홋카이도 Part3 지역여행Ⅲ,"정태관,박용준,민보영",넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 홋카이도 Part4 지역여행 Ⅳ,"정태관,박용준,민보영",넥서스BOOKS,동작구 구립도서관 (교보),,
"ENJOY 프라하 Part2 지역여행Ⅰ구시가지, 유대인지구, 그 밖의 프라하","김지선, 문은정",넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 두바이 Part1 지역여행,박진영,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 두바이 Part2 테마여행,박진영,넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 남미 Part1 지역여행Ⅰ,"함병현, 홍원경",넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 남미 Part2 지역여행Ⅱ,"함병현, 홍원경",넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 남미 Part3 지역여행Ⅲ,"함병현, 홍원경",넥서스BOOKS,동작구 구립도서관 (교보),,
ENJOY 남미 Part4 테마여행,"함병현, 홍원경",넥서스BOOKS,동작구 구립도서관 (교보),,
조선을 바꾼 반전의 역사,김종성,지식의숲,동작구 구립도서관 (교보),,
(남자들이 훔쳐보는) 다리라인 만들기,노현호,넥서스BOOKS,동작구 구립도서관 (교보),,
(시작하는 연인들을 위한) 당일 여행,홍미경,넥서스BOOKS,동작구 구립도서관 (교보),,
여기 어때,홍미경,넥서스BOOKS,동작구 구립도서관 (교보),,
캠핑을 부탁해,"김지선, 이상근, 이진수",넥서스BOOKS,동작구 구립도서관 (교보),,
캬 시원한 맥주 만들기,조호철,넥서스BOOKS,동작구 구립도서관 (교보),,
