title,author,publisher,library,image_url
10대가 가장 알고 싶은 기후변화 최다질문 TOP 50,반기성 저,메이트북스,종로구 전자도서관 (API),
10대가 가짜 과학에 빠지지 않는 20가지 방법,마크 짐머 저/이경아 역,오유아이,종로구 전자도서관 (API),
10대라면 반드시 알아야 할 4차 산업혁명과 인공지능 : 미래를 바꾸는 디지털 시대와 인공지능을  이해하는 44가지 질문들,"신성권,서대호 공저",팬덤북스,종로구 전자도서관 (API),
10대라면 반드시 알아야 할 한국 근현대사,유정호 저,팬덤북스,종로구 전자도서관 (API),
10대를 위한 데이터과학 with 파이썬,"구덕회,권다혜,박소연 공저",잇플ITPLE,종로구 전자도서관 (API),
10대를 위한 워런 버핏 경제 수업,"안석훈,이경민,홍혜민 저",넥스트씨,종로구 전자도서관 (API),
"10대에 의료계가 궁금한 나, 어떻게 할까? : 인공지능 의사부터 로봇과 함께하는 의료 현장까지, 의료인을 꿈꾸는 10대가 알아야 할 미래",오쿠 신야 저/김정환 역/예병일 감수,오유아이,종로구 전자도서관 (API),
10분 완성 초등 글쓰기 : 32년 차 현직 교사의 문해력과 창의력 키우는 글쓰기 비법,박은주 저,시대인,종로구 전자도서관 (API),
10일간의 영국 일주 인문학 여행,임상우 저,지식공감,종로구 전자도서관 (API),
"12·12 : 정승화, 장태완 등 관련자 100인의 증언과  사진으로 재구성한 12·12 그날의 진실",이계성 저,폴리티쿠스,종로구 전자도서관 (API),
14살의 말 공부 : 친구에게 상처 주기도 상처 받기도 싫은 십 대를 위한,이임숙 저,21세기북스,종로구 전자도서관 (API),
150년 하버드 사고력 수업 : 세계 최고 명문 대학이 전수하는 생각 비법,송숙희 저,유노북스,종로구 전자도서관 (API),
1592 진주성 : 전라도로 가는 마지막 관문,권숯돌 글/정용연 그림,레드리버,종로구 전자도서관 (API),
169층 나무 집,앤디 그리피스 글/테리 덴톤 그림/신수진 역,시공주니어,종로구 전자도서관 (API),
1974년 08월 15일,황천우 저,메이킹북스,종로구 전자도서관 (API),
1밀리미터의 싸움  : 세계적 신경외과 의사가 전하는 삶과 죽음의 경계,페터 바이코치 저/배진아 역/정연구 감수,흐름출판,종로구 전자도서관 (API),
