title,author,publisher,library,platform,provider,image_url,isbn
월요일 수요일 토요일,페트라 펠리니,북파머스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193937823/L4801193937823.jpg,
인생을 바꾸는 이메일 쓰기,이슬아,이야기장수,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801194184332/L4801194184332.jpg,
적당히 잊으며 살아간다,후지이 히데코,쌤앤파커스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801194755587/L4801194755587.jpg,
당연한 것들을 의심하는 100가지 철학,오가와 히토시,이든서재,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801194812044/L4801194812044.jpg,
마흔 더 늦기 전에 생각의 틀을 리셋하라,박근필,알토북스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801194655115/L4801194655115.jpg,
소크라테스는  왜 질문만 했을까,시노하라 마코토,더페이지,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801194156247/L4801194156247.jpg,
확률로 바라본 수학적 일상,장톈룽,미디어숲,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801158742554/L4801158742554.jpg,
돈이 자유다,얼음공장,황금부엉이,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4808960306516/L4808960306516.jpg,
돌비공포라디오 더 레드,돌비,아르테(arte),양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801173573911/L4801173573911.jpg,
로마 숨은 매력 찾기,최순원,솔깃미디어,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801199346407/L4801199346407.jpg,
생물의 왕국,이정모,책과삶,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801199327802/L4801199327802.jpg,
초역 쇼펜하우어의 말,아르투어 쇼펜하우어,지혜의숲,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193282312/L4801193282312.jpg,
고전이 답했다 마땅히 가져야 할 부에 대하여,고명환,라곰,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801193939315/L4801193939315.jpg,
미치광희 최광희입니다,최광희,크레타,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801192742534/L4801192742534.jpg,
우연의 의미를 찾아서,폴 핼퍼,위즈덤하우스,양천구립도서관 (소장),Kyobo_New,교보문고,https://ebook.yangcheon.or.kr/upload/22911/content/ebook/4801171714576/L4801171714576.jpg,
