title,author,publisher,library,provider,platform,image_url,isbn,goods_id
한글로 바로 읽는 영어 발음,박형근,다락원,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109789961/M,,109789961
뉴욕 정신과 의사의 사람 도서관,나종호,아몬드,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/110339877/M,,110339877
소심한 당신을 위한 멘탈 처방 70,멘탈 닥터 시도,리스컴,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109772344/M,,109772344
"오늘, 나는 비건",김홍미,리스컴,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109770921/M,,109770921
세렝게티의 아이들,박라솔 글,마루비,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109846785/M,,109846785
느려도 너무 느린 이유노,정유리 글,책속물고기,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109856098/M,,109856098
산불이 일어난 뒤에,대니 포포비치 글,책속물고기,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109856099/M,,109856099
"도시, 청년, 호러","이시우,김동식,허정,전건우,조예은,남유하 공저",안전가옥,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/110033141/M,,110033141
지능의 역설,가나자와 사토시,데이원,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/110782785/M,,110782785
방귀 사냥꾼 방구빵,백혜영 글,책과콩나무,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109780843/M,,109780843
말말말 말 속에 숨은 차별,하루 글,주니어단디,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109838512/M,,109838512
바이러스 쫌 아는 10대,전방욱 글,풀빛,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109661640/M,,109661640
우리의 밤이 시작되는 곳,고요한,나무옆의자,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109763203/M,,109763203
오탐정의 확진자 추적 사건,"공수경,김명선,김정미,서화교,이선주 글",책과콩나무,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109780848/M,,109780848
자기 회복력,야스민 카르발하이로,가나출판사,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109887297/M,,109887297
"기후 위기 시대, 어린이를 위한 기후 난민 이야기",박선희 글,팜파스,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/112348637/M,,112348637
악당이 된 녀석들,정설아 글,다른매듭,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109771091/M,,109771091
"사람 살려, 감염병 꼼짝 마!",지태선 글그림,다른매듭,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109771092/M,,109771092
나는 누구인가요?,토니 뒤랑 글그림,소원나무,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/110870346/M,,110870346
다르면서 같은 우리,에바누엘라 나바 글,풀빛,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109736307/M,,109736307
역사 논쟁,최영민 글,풀빛,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109752296/M,,109752296
혼자 공부하는 얄팍한 코딩 지식,고현민,한빛미디어,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109832265/M,,109832265
역행자,자청,웅진지식하우스,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109838660/M,,109838660
나는 파괴되지 않아,박하령,책폴,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109846782/M,,109846782
사랑이 뭘까?,박은정 글,개암나무,강서구 전자도서관,YES24,YES24,https://image.yes24.com/goods/109619186/M,,109619186
