title,author,publisher,library,image_url,isbn,provider,platform
한국인의 힘 1 [전자책],이규태,신원문화사,서울도서관 (API),,,,Mixed
오늘도 걷는다 [전자책],고은,신원문화사,서울도서관 (API),,,,Mixed
오즈의 마법사 시리즈 5 - 오즈로 가는 길 [전자책],L.프랭크바움,문학세계사,서울도서관 (API),,,,Mixed
쓸쓸한 날의 자유 - 174 문학세계현대시선집 [전자책],이승희,문학세계사,서울도서관 (API),,,,Mixed
오즈의 마법사 시리즈 10 - 오즈의 링키팅크 [전자책],L.프랭크바움,문학세계사,서울도서관 (API),,,,Mixed
매우 가벼운 담론 [전자책],조말선,문학세계사,서울도서관 (API),,,,Mixed
라보엠 [전자책],앙리 뮈르제,문학세계사,서울도서관 (API),,,,Mixed
지상은 향기롭다 [전자책],한상남,문학세계사,서울도서관 (API),,,,Mixed
석녀일기 7 - 그들만의 행복 2 [전자책],최태양,매일북스,서울도서관 (API),,,,Mixed
석녀일기 10 - 슬픈 추억 2 [전자책],최태양,매일북스,서울도서관 (API),,,,Mixed
지치고 어려울 때 힘이 되는 마음의 선물 [전자책],데이비드 레온하트,느낌이있는책,서울도서관 (API),,,,Mixed
내겐너무소중한당신당신을사랑합니다 [전자책],김옥림,느낌이있는책,서울도서관 (API),,,,Mixed
꿈 [전자책],이지현,느낌이있는책,서울도서관 (API),,,,Mixed
잘되는 병원 무엇이 다른 걸까 [전자책],이시다 쇼이치,느낌이있는책,서울도서관 (API),,,,Mixed
셜록 홈즈 대표 단편선 [전자책],아서 코난 도일,느낌이있는책,서울도서관 (API),,,,Mixed
검은 멍울 [전자책],박미연,가하,서울도서관 (API),,,,Mixed
대북원 6 [전자책],이후준,꿈미디어,서울도서관 (API),,,,Mixed
대북원 10 [전자책],이후준,꿈미디어,서울도서관 (API),,,,Mixed
이보영의 시추에이션 영어회화 [전자책],이보영,두산동아,서울도서관 (API),,,,Mixed
Reading Cafe 리딩 카페 Level 레벨 01 (2010년) [전자책],이보영,두산동아,서울도서관 (API),,,,Mixed
Reading Cafe 리딩 카페 Level 레벨 02 (2010년) [전자책],이보영,두산동아,서울도서관 (API),,,,Mixed
Reading Cafe 리딩 카페 Level 레벨 03 (2010년) [전자책],이보영,두산동아,서울도서관 (API),,,,Mixed
초등학생을 위한 그리스 신화 [전자책],김홍래,웅진주니어,서울도서관 (API),,,,Mixed
웅진 푸른교실 1 - 나쁜 어린이 표 [전자책],황선미,웅진주니어,서울도서관 (API),,,,Mixed
빛나는 이원수 문학 7 - 밤안개 [전자책],이원수,웅진주니어,서울도서관 (API),,,,Mixed
초등학생을 위한 셰익스피어 명작 [전자책],찰스 램,웅진주니어,서울도서관 (API),,,,Mixed
멀리 가려면 함께 가라 [전자책],이종선,갤리온,서울도서관 (API),,,,Mixed
반딧불 보호구역 [전자책],최승호,문학에디션뿔,서울도서관 (API),,,,Mixed
